Job Title,Industry,Job Status,AI Impact Level,Median Salary (USD),Required Education,Experience Required (Years),Job Openings (2024),Projected Openings (2030),Remote Work Ratio (%),Automation_Risk_Original,Location,Gender Diversity (%),Automation_Risk_New
Estate manager/land agent,Retail,Increasing,Moderate,90039.33,PhD,20,5824,1782,13.59,90.96,China,30.01,39.93872098432698
IT sales professional,IT,Increasing,Moderate,144077.67,Master’s Degree,16,7350,1510,58.47,33.54,Australia,29.65,23.47495305899679
"Designer, graphic",Retail,Decreasing,Low,87625.65,High School,1,3916,6539,10.32,88.11,China,53.13,64.97167832088604
Publishing copy,Transportation,Decreasing,Low,148482.71,Master’s Degree,13,1815,1427,71.8,46.05,Brazil,45.28,33.79951018370714
Higher education lecturer,Education,Decreasing,High,57967.04,Bachelor’s Degree,20,2412,2403,15.63,62.59,USA,44.94,63.494506554297544
Neurosurgeon,Education,Decreasing,High,50825.48,High School,19,7583,9013,12.22,97.27,India,72.84,82.62458578245923
Contractor,Healthcare,Increasing,Moderate,73488.5,Master’s Degree,1,3279,3425,91.01,88.12,USA,70.97,15.088123274834295
Translator,Healthcare,Decreasing,High,120770.2,PhD,11,1055,6237,49.39,44.98,USA,22.29,43.64337378004835
Horticultural therapist,Finance,Decreasing,Low,131423.03,Bachelor’s Degree,20,4918,7765,77.83,73.39,Germany,33.39,32.63974944277766
"Surveyor, mining",Healthcare,Decreasing,Low,126632.15,High School,17,8691,6065,19.05,1.78,UK,43.36,53.253263684360704
"Engineer, aeronautical",Finance,Increasing,Moderate,139573.63,Associate Degree,20,5652,8643,85.92,95.52,UK,57.29,33.38230271926067
Toxicologist,Education,Decreasing,High,105538.09,Master’s Degree,1,7856,5643,63.9,63.27,UK,20.22,52.45680589942913
"Therapist, drama",Finance,Decreasing,Low,75225.99,Bachelor’s Degree,11,8563,2495,34.15,95.07,India,28.28,40.77842069529837
"Editor, film/video",Healthcare,Decreasing,Moderate,39193.49,Associate Degree,17,581,8009,3.7,82.57,China,67.9,59.25359436310216
Dramatherapist,Retail,Increasing,Moderate,136745.61,Bachelor’s Degree,6,3713,3691,16.66,32.48,UK,47.22,56.50704361976872
Operations geologist,Manufacturing,Increasing,Moderate,37869.26,Bachelor’s Degree,20,3207,5818,53.13,97.74,Australia,39.6,52.21187929204984
Scientific laboratory technician,Manufacturing,Decreasing,Moderate,111458.04,High School,20,6648,9895,10.77,30.86,Brazil,28.17,83.43099667330566
Clinical cytogeneticist,Education,Decreasing,Low,88830.07,Master’s Degree,1,7478,4282,58.77,16.19,USA,42.63,31.630129380531162
Information officer,Retail,Increasing,High,64658.71,PhD,8,2038,6014,6.66,66.57,USA,47.5,45.120353315875064
Pension scheme manager,Entertainment,Increasing,Moderate,116170.7,PhD,11,4598,5287,1.58,18.61,Canada,24.8,27.816281470053205
"Therapist, nutritional",Transportation,Decreasing,High,133470.36,Master’s Degree,3,9420,5488,3.21,53.22,India,65.19,68.7778846313655
Tax inspector,Entertainment,Increasing,Moderate,82241.01,PhD,1,7410,9060,58.69,38.65,China,46.8,15.625657190373369
Environmental education officer,Finance,Decreasing,Moderate,142088.16,High School,15,6451,775,25.67,71.04,USA,51.06,70.12030135067626
Chiropodist,Manufacturing,Increasing,Moderate,74402.31,Bachelor’s Degree,17,2867,3952,70.34,37.23,Australia,52.92,40.17156920549574
"Engineer, site",Manufacturing,Decreasing,Low,91927.44,PhD,14,7229,5986,47.4,14.11,Canada,22.87,42.869391076926334
Commercial art gallery manager,Transportation,Decreasing,High,77808.16,High School,6,7044,4771,16.92,53.53,UK,33.22,81.36040165836879
Technical brewer,Retail,Decreasing,Moderate,71462.72,Master’s Degree,12,2670,5956,57.57,21.75,Canada,46.39,58.600128420367724
Chemical engineer,Education,Increasing,High,117864.46,Master’s Degree,12,4586,3832,43.29,29.89,China,49.88,39.96016853351841
"Psychotherapist, child",Retail,Increasing,Low,97861.41,Master’s Degree,6,4728,3440,42.06,31.49,Australia,54.2,33.76610283973284
Child psychotherapist,Education,Increasing,Low,82598.54,Bachelor’s Degree,16,8109,5537,79.11,62.74,India,24.12,11.938075923485666
"Engineer, electronics",Healthcare,Increasing,Low,122417.36,High School,0,7373,2888,94.51,72.32,Canada,29.25,27.541749796955756
Media planner,Education,Decreasing,Low,99321.78,Master’s Degree,17,2744,4047,2.44,20.02,USA,77.83,42.00814853011715
Dispensing optician,Entertainment,Decreasing,High,37854.89,PhD,6,6163,1014,66.66,82.23,Brazil,26.48,44.141717597764874
Statistician,Transportation,Decreasing,Moderate,43836.74,PhD,11,4245,480,33.76,27.99,UK,65.78,46.15874830537025
Magazine journalist,IT,Decreasing,Moderate,72227.61,Bachelor’s Degree,15,1333,307,47.05,73.25,Germany,39.26,49.138017918285485
"Journalist, magazine",Entertainment,Increasing,High,110814.92,Bachelor’s Degree,13,7924,2721,69.12,61.11,China,43.33,40.019358216625974
Electronics engineer,Finance,Decreasing,High,92817.78,Associate Degree,3,8396,397,97.21,60.22,Germany,47.37,61.165629129751046
Print production planner,Retail,Increasing,Moderate,124179.18,Bachelor’s Degree,3,8947,3369,97.99,42.59,Brazil,48.9,35.60594440192574
Armed forces operational officer,IT,Decreasing,High,89686.86,PhD,17,3647,9153,34.06,39.39,Australia,38.07,54.6515861502495
Curator,Finance,Increasing,Moderate,54678.13,Master’s Degree,18,4095,8275,85.39,19.55,USA,49.37,24.97860343908622
Patent examiner,Healthcare,Increasing,Moderate,148105.22,Associate Degree,12,3964,231,13.05,2.38,India,72.08,45.75863274029865
Pensions consultant,Entertainment,Increasing,Moderate,137164.43,High School,16,1806,4925,68.36,98.44,Canada,78.01,41.74418667716929
Outdoor activities/education manager,Manufacturing,Increasing,Low,61231.29,High School,18,9565,4906,0.81,19.07,Brazil,44.25,61.84971768525534
Tourist information centre manager,Retail,Decreasing,Moderate,129453.86,Bachelor’s Degree,13,4407,8400,44.9,48.23,Australia,37.55,61.2969853636803
Catering manager,Transportation,Decreasing,Low,109004.82,PhD,8,3929,8275,73.93,1.26,Australia,40.64,27.920056922555766
Osteopath,Education,Decreasing,High,51247.04,Bachelor’s Degree,20,9306,6496,31.0,28.45,China,69.26,57.30592489406709
Contracting civil engineer,Entertainment,Increasing,Moderate,117633.82,High School,10,824,5664,29.08,45.38,China,31.14,48.47833937009143
Sport and exercise psychologist,IT,Decreasing,Moderate,39187.31,Master’s Degree,20,6602,6543,86.82,15.94,Canada,52.89,34.61184757162943
Further education lecturer,IT,Increasing,Moderate,129579.95,PhD,14,9938,3537,69.0,75.07,Brazil,26.72,19.652228286502684
TEFL teacher,Retail,Decreasing,Low,146074.99,High School,7,2698,1276,15.66,66.23,Germany,76.67,68.92400560271516
Mental health nurse,Manufacturing,Increasing,High,96437.85,PhD,6,8275,3802,1.73,4.84,USA,65.65,62.04874599921155
Educational psychologist,Entertainment,Increasing,High,75131.88,High School,8,3736,9083,26.49,13.24,USA,34.39,65.52935308379946
Learning mentor,Manufacturing,Decreasing,Moderate,127168.07,Bachelor’s Degree,0,7350,4207,70.8,70.79,Brazil,44.64,60.77957232661614
Interpreter,Manufacturing,Increasing,Low,80597.81,Associate Degree,10,7756,7685,57.29,58.64,Brazil,24.36,44.399330112855765
Engineering geologist,Retail,Decreasing,Moderate,52365.96,Bachelor’s Degree,9,3758,584,47.77,64.76,Canada,53.04,59.249961274745836
Chief Financial Officer,IT,Increasing,High,41715.96,Bachelor’s Degree,20,7599,7994,94.78,18.17,Germany,77.31,26.832053404486697
Dealer,Healthcare,Increasing,High,56886.1,High School,10,238,5699,14.0,21.61,Brazil,34.78,62.612307052624935
Intelligence analyst,Education,Increasing,High,117407.94,PhD,14,2321,5358,9.62,27.04,USA,70.95,41.596024972570994
"Administrator, Civil Service",Finance,Decreasing,High,113752.26,PhD,9,8958,4566,32.02,6.41,USA,65.2,53.10150691090895
Video editor,Retail,Increasing,Moderate,70779.47,Associate Degree,2,9811,5961,39.66,62.36,India,45.88,48.5325080692981
"Designer, exhibition/display",Transportation,Decreasing,High,70913.28,PhD,8,731,7967,34.13,23.49,India,54.81,57.68676491788242
Occupational hygienist,IT,Decreasing,Low,108166.08,High School,0,3939,5327,35.51,76.43,USA,60.06,52.277953558757275
Community education officer,IT,Increasing,High,81984.65,Bachelor’s Degree,16,2032,2625,37.68,30.22,Canada,48.94,43.15237738251763
"Civil engineer, consulting",Finance,Decreasing,Moderate,136452.57,PhD,18,2296,1763,14.67,71.18,China,26.03,46.66554430376484
Restaurant manager,Transportation,Decreasing,Low,112562.39,Associate Degree,6,7269,4927,21.53,15.74,India,78.87,59.312310323384416
Fisheries officer,Transportation,Decreasing,Moderate,36179.05,Bachelor’s Degree,16,6075,1510,42.48,85.74,UK,70.05,54.29788508008982
Planning and development surveyor,Manufacturing,Decreasing,High,111781.46,Bachelor’s Degree,10,2598,2657,41.14,11.29,India,24.85,75.46533422615623
Pathologist,Retail,Decreasing,Low,68263.84,Associate Degree,14,9181,4714,86.79,94.0,Australia,35.5,47.72231461102631
Rural practice surveyor,Entertainment,Decreasing,Low,72727.6,Associate Degree,11,1000,6428,1.69,31.8,UK,49.51,51.5489369461155
IT trainer,IT,Increasing,High,125411.94,Bachelor’s Degree,1,1289,6644,40.06,54.4,UK,52.94,44.620113083643176
"Engineer, maintenance",Education,Increasing,High,44096.2,Associate Degree,4,7348,1712,83.43,48.8,USA,75.97,38.54050926911447
Community arts worker,Retail,Decreasing,Low,147475.06,Master’s Degree,0,7161,9705,22.22,74.7,China,42.62,45.62342766194075
Information officer,Transportation,Increasing,High,106443.2,PhD,11,3721,2860,68.92,72.74,UK,67.15,35.396011926617824
Midwife,Entertainment,Increasing,Moderate,40600.03,Bachelor’s Degree,5,4163,2106,47.85,93.14,Germany,23.56,32.10834652160226
Building control surveyor,Manufacturing,Decreasing,Moderate,87775.05,High School,19,5090,482,68.67,71.87,Brazil,78.6,75.07116316852999
Claims inspector/assessor,Finance,Increasing,Moderate,50735.64,Associate Degree,13,8087,6705,19.58,17.83,USA,28.58,52.685041244255686
Licensed conveyancer,Finance,Decreasing,Moderate,92491.78,PhD,5,2291,9255,29.41,79.81,China,42.55,46.07785274367223
Dentist,Education,Increasing,Moderate,47541.22,PhD,8,3530,4243,11.16,91.68,USA,79.88,28.24434721440291
"Surveyor, building",Finance,Increasing,High,33841.64,PhD,1,9418,2149,11.22,62.97,UK,47.51,39.08472390154982
"Engineer, manufacturing",Manufacturing,Increasing,High,117744.02,High School,20,428,205,97.21,61.03,Germany,25.82,66.31325572153943
Product designer,Entertainment,Increasing,High,62603.45,Bachelor’s Degree,0,9951,5718,34.98,12.84,China,60.2,45.80326745852991
Insurance underwriter,Finance,Decreasing,Low,72553.36,PhD,11,7470,9603,6.22,92.56,Australia,26.71,34.57587852102769
Recruitment consultant,Manufacturing,Increasing,Moderate,149904.64,PhD,14,2887,6384,39.99,68.61,UK,24.11,43.66180335783756
Careers information officer,Healthcare,Decreasing,High,60342.3,Bachelor’s Degree,17,4863,6799,90.21,18.62,Germany,42.95,51.68708417207465
Land,Manufacturing,Decreasing,Moderate,132004.27,Bachelor’s Degree,10,4686,4981,3.94,19.75,UK,63.48,73.86683210200988
Engineering geologist,Transportation,Decreasing,High,32701.01,PhD,4,7694,6761,71.04,48.56,India,41.28,49.114177474427855
Chartered legal executive (England and Wales),IT,Increasing,Low,98668.3,Associate Degree,15,7518,8514,79.06,28.13,UK,41.77,23.689833341706493
Cartographer,Manufacturing,Increasing,Moderate,104929.34,PhD,15,6161,8784,43.38,54.12,Germany,21.89,39.54312560442192
Optometrist,Finance,Decreasing,Low,147729.37,Bachelor’s Degree,6,1246,5318,90.49,60.2,China,35.52,37.2712378286796
Video editor,Entertainment,Decreasing,Moderate,132332.37,PhD,18,4519,4505,26.67,44.15,UK,40.15,42.86662810544161
"Engineer, site",Education,Decreasing,Moderate,57124.8,Associate Degree,13,5444,1880,13.39,11.66,Germany,37.64,60.32092585295767
"Social research officer, government",IT,Decreasing,High,99467.63,High School,1,8426,1686,74.27,71.79,China,63.63,68.14621768735155
Historic buildings inspector/conservation officer,Healthcare,Decreasing,Moderate,122180.9,Bachelor’s Degree,6,1625,7408,44.25,59.14,Australia,52.88,47.19717898538968
"Teacher, secondary school",Finance,Increasing,Moderate,124395.93,Master’s Degree,18,1863,4614,67.18,73.61,Brazil,74.78,21.867110019929704
Barista,IT,Increasing,High,148257.76,High School,11,1143,3391,76.52,76.72,Canada,20.15,51.937997116747866
Maintenance engineer,Education,Decreasing,Moderate,84008.19,Master’s Degree,15,2187,6983,88.75,8.36,China,40.36,37.24343783854996
Speech and language therapist,IT,Increasing,Moderate,54828.05,High School,11,3077,8398,25.36,87.3,Australia,69.89,54.553965878708475
Sales promotion account executive,Manufacturing,Increasing,High,82492.45,PhD,13,2235,2925,54.47,68.82,USA,51.9,50.86054501710338
"Surveyor, rural practice",Retail,Increasing,High,95351.56,Master’s Degree,17,4431,4871,38.9,94.26,Australia,35.83,51.050771581859294
Planning and development surveyor,Finance,Decreasing,Moderate,66995.41,High School,3,914,4702,7.99,62.37,India,76.91,78.09988051443283
Personal assistant,IT,Decreasing,High,54921.39,High School,17,6019,7595,5.82,56.27,China,74.62,84.72573075078438
Passenger transport manager,IT,Decreasing,High,125981.61,Master’s Degree,20,5269,170,61.46,79.28,Germany,65.86,52.48682394803081
Geophysical data processor,Education,Increasing,High,117443.51,Master’s Degree,8,1019,5598,67.48,80.52,USA,46.19,36.638588193747665
"Teacher, special educational needs",Healthcare,Decreasing,Moderate,79117.65,Associate Degree,7,9175,7179,77.08,20.9,China,70.84,49.610661935471946
Office manager,IT,Decreasing,Low,61718.27,PhD,2,1842,880,73.2,30.55,India,51.93,18.59048596414698
"Scientist, marine",IT,Increasing,Moderate,84510.1,PhD,16,4555,1921,66.52,15.33,Brazil,29.17,19.44591387370748
"Presenter, broadcasting",Healthcare,Increasing,Low,70214.77,Associate Degree,17,9193,8870,55.95,15.45,India,66.4,29.966554534495625
"Psychotherapist, child",Entertainment,Decreasing,High,141007.96,High School,0,1485,9664,6.43,3.45,China,46.96,83.9946480662261
Hydrologist,Healthcare,Decreasing,Low,122448.75,Master’s Degree,20,677,1410,51.92,86.6,USA,65.21,32.696830128909134
Social worker,Manufacturing,Increasing,Moderate,123048.51,High School,11,8601,2417,33.54,1.74,India,23.32,67.02242290569437
"Scientist, clinical (histocompatibility and immunogenetics)",Manufacturing,Increasing,High,107223.43,Master’s Degree,2,1477,6109,63.25,18.88,Canada,25.95,53.14773645482642
Estate manager/land agent,Healthcare,Decreasing,Low,88448.71,Master’s Degree,4,347,7310,68.38,58.91,USA,60.74,26.64124003807052
Health physicist,Manufacturing,Decreasing,High,32594.67,Bachelor’s Degree,19,1158,1602,97.82,62.15,USA,57.88,62.86862778454507
Licensed conveyancer,Manufacturing,Increasing,Low,113726.85,PhD,10,1278,1534,17.58,13.87,India,47.18,38.97422726866821
Nutritional therapist,Retail,Decreasing,High,126135.23,Associate Degree,15,1142,4350,96.61,1.48,USA,66.34,72.31498301638132
Wellsite geologist,Transportation,Decreasing,Moderate,112742.55,Master’s Degree,2,3605,7332,43.35,84.9,USA,39.18,49.596785251916046
"Engineer, civil (consulting)",Education,Increasing,High,112628.18,PhD,3,4787,8016,88.88,16.21,India,79.73,29.45150831724532
Forensic psychologist,Entertainment,Decreasing,Moderate,58982.56,Bachelor’s Degree,20,6311,3319,68.72,20.22,India,63.66,45.5392339793589
Fisheries officer,Healthcare,Increasing,Moderate,92570.56,Master’s Degree,14,4828,3752,33.56,93.1,India,64.24,33.13936536916257
Counselling psychologist,Entertainment,Decreasing,Low,126967.12,High School,9,2004,7234,32.5,88.92,Australia,70.85,50.78562748211225
"Engineer, maintenance",Transportation,Increasing,High,112937.16,Master’s Degree,0,1903,8223,84.59,38.28,UK,35.14,41.803932155031745
Scientific laboratory technician,Healthcare,Decreasing,High,134026.74,Associate Degree,2,5654,1940,90.06,17.09,India,42.79,49.531361111903365
Pensions consultant,IT,Decreasing,Low,30848.1,Master’s Degree,18,6649,903,73.94,16.61,Australia,44.09,22.798409656919652
Fitness centre manager,Retail,Decreasing,Moderate,80472.84,Associate Degree,11,8383,4682,61.97,38.56,India,65.42,60.89332277796055
Chief Financial Officer,Healthcare,Decreasing,High,76944.21,PhD,13,4725,5429,63.08,76.34,India,26.9,43.60022670425846
Homeopath,Healthcare,Increasing,Low,106153.27,Master’s Degree,13,5574,7031,79.63,98.6,Germany,52.92,16.046797272042824
Town planner,Entertainment,Increasing,Moderate,121585.5,Associate Degree,2,5381,2474,57.15,37.86,UK,64.72,35.33439247720077
Print production planner,Transportation,Decreasing,Moderate,42275.92,Bachelor’s Degree,2,4725,6320,30.64,79.85,India,21.28,52.78135604591973
"Lecturer, further education",Transportation,Decreasing,Moderate,128325.21,Master’s Degree,13,6624,3832,63.09,36.91,Canada,35.86,45.11551711798699
Therapeutic radiographer,Entertainment,Decreasing,Moderate,75476.36,Associate Degree,1,9087,8881,51.8,47.04,China,71.86,55.37038052900172
"Therapist, art",Manufacturing,Increasing,High,52859.25,PhD,9,6147,9757,77.88,43.19,Canada,22.52,46.602832143441354
Web designer,Transportation,Increasing,Moderate,36698.34,High School,19,3511,2846,13.5,45.77,Germany,23.82,62.726684852266395
Advertising account executive,Entertainment,Increasing,Moderate,93944.36,Associate Degree,4,315,9268,47.5,55.39,UK,25.32,38.06728330215615
Lobbyist,Retail,Increasing,Low,61711.6,Associate Degree,19,3653,5558,70.0,21.5,UK,71.69,32.6453035651632
Licensed conveyancer,Transportation,Decreasing,High,52426.78,Associate Degree,19,7806,1302,56.82,86.74,Canada,26.32,65.12337547824319
"Engineer, electronics",Healthcare,Increasing,Low,58850.95,Master’s Degree,5,6177,7362,69.29,98.18,China,27.03,15.34165974530738
Agricultural engineer,Finance,Decreasing,Moderate,108605.52,Master’s Degree,3,4500,1943,42.93,54.41,Germany,63.94,46.068329915736214
Ceramics designer,Education,Increasing,Moderate,129239.01,High School,9,9427,9442,14.76,41.94,Brazil,24.27,57.1461250478754
Hydrographic surveyor,IT,Increasing,Moderate,108916.46,Master’s Degree,18,7372,546,76.97,17.09,India,50.12,22.620045901276903
Adult guidance worker,Transportation,Decreasing,High,67161.49,Master’s Degree,2,2902,6198,63.32,72.26,Canada,23.74,62.030422231267735
"Education officer, community",Transportation,Decreasing,Low,121647.46,Master’s Degree,5,2576,7971,3.85,51.4,UK,49.62,45.08398142156677
"Engineer, civil (contracting)",Transportation,Decreasing,Low,77969.46,High School,11,2853,527,31.06,92.98,China,36.73,58.88803448945611
Land,Manufacturing,Increasing,Low,131902.96,Master’s Degree,2,7131,5518,22.88,86.87,Germany,27.23,39.979039316010365
"Engineer, production",IT,Increasing,Low,78823.93,Bachelor’s Degree,18,7948,2492,21.34,6.48,Australia,20.43,31.2990516861093
"Psychologist, occupational",IT,Decreasing,Low,115480.07,High School,2,9642,5596,3.91,66.23,Germany,29.1,60.82614571929723
Higher education lecturer,Manufacturing,Decreasing,Moderate,65311.91,PhD,19,2596,500,23.3,67.7,Germany,30.24,61.14913028302629
Manufacturing systems engineer,Healthcare,Decreasing,High,110524.52,Master’s Degree,17,2471,5396,95.15,41.83,China,54.78,42.5307685987254
Patent examiner,Transportation,Increasing,Low,71706.97,PhD,8,9623,4901,29.36,62.69,China,47.43,21.900295687530704
Waste management officer,Healthcare,Increasing,High,143722.3,PhD,17,9503,7366,55.46,35.39,UK,58.52,32.921041937600414
Music therapist,Education,Increasing,Low,131340.24,Master’s Degree,8,1003,4631,81.3,63.62,India,79.86,15.61335818099206
Chief Operating Officer,Healthcare,Decreasing,High,114449.15,Bachelor’s Degree,8,3399,7877,42.45,98.57,Germany,36.43,57.31970331391701
Meteorologist,Manufacturing,Decreasing,High,52724.86,Master’s Degree,6,9302,510,75.01,9.74,UK,66.69,71.04776626102877
Government social research officer,Retail,Decreasing,Low,45548.61,Master’s Degree,6,726,3227,41.12,14.55,Canada,27.93,49.0885056223025
Horticultural therapist,Healthcare,Decreasing,High,79919.42,Associate Degree,13,507,1013,11.37,67.01,Germany,58.61,69.25878729700776
"Engineer, production",IT,Decreasing,High,124252.7,PhD,6,4604,7129,22.13,75.5,Brazil,67.95,55.465780264860484
Orthoptist,Retail,Increasing,High,137865.13,Associate Degree,8,4990,849,53.34,40.18,UK,51.67,60.49985759157077
Trade union research officer,Healthcare,Decreasing,High,37003.16,PhD,19,639,7584,41.02,77.59,China,41.19,50.60826640708396
Careers adviser,Finance,Increasing,High,93695.36,Bachelor’s Degree,6,5610,9444,30.45,29.42,Australia,78.59,47.46601899496105
Chartered loss adjuster,Healthcare,Decreasing,Low,135559.17,Associate Degree,18,5894,347,77.54,8.32,Canada,48.66,41.91878110905247
Microbiologist,Entertainment,Increasing,Low,144425.42,PhD,17,411,9381,99.14,54.56,Germany,65.3,2.3146675593466375
Clinical psychologist,Manufacturing,Increasing,Low,103564.99,Master’s Degree,15,9725,7320,44.24,49.36,Germany,69.38,33.52623779027412
Film/video editor,Healthcare,Decreasing,High,71766.57,High School,5,2792,2592,43.06,39.11,Germany,68.01,72.93001967014119
Dispensing optician,IT,Decreasing,Low,66149.96,Master’s Degree,11,4604,7540,27.84,3.42,USA,40.48,34.40516776563761
"Production assistant, television",Finance,Decreasing,Moderate,137360.81,PhD,20,1223,1343,90.52,4.57,China,61.28,26.144521192156702
Food technologist,Retail,Increasing,High,49939.37,Master’s Degree,12,2224,5713,20.11,43.04,Germany,23.44,54.54285964487951
"Engineer, mining",Manufacturing,Increasing,Low,61276.62,Bachelor’s Degree,16,295,9152,21.93,84.5,India,63.65,40.71912004843108
"Surveyor, insurance",IT,Increasing,Low,147244.38,Bachelor’s Degree,1,8460,8422,42.15,24.43,UK,56.95,24.637979628554863
"Accountant, chartered",Manufacturing,Increasing,Low,82739.57,PhD,4,6765,8709,64.34,66.06,Germany,65.73,26.345606928463614
Police officer,Retail,Decreasing,Low,44845.59,Master’s Degree,11,2078,5298,76.8,18.46,Brazil,43.03,34.327046936632655
"Psychologist, forensic",Entertainment,Decreasing,Moderate,37253.72,Bachelor’s Degree,11,9831,1825,65.69,80.61,Brazil,44.09,44.27040562825671
Horticultural consultant,Manufacturing,Increasing,Moderate,113425.03,High School,19,9660,3401,36.62,20.21,India,20.62,64.76107028586212
Dancer,Finance,Decreasing,Moderate,57027.13,PhD,19,7039,7861,59.49,63.29,UK,25.06,33.25307778891127
Commissioning editor,Finance,Increasing,Low,101780.88,Associate Degree,14,8118,6569,97.12,72.59,Germany,24.68,20.201168934317472
"Loss adjuster, chartered",Education,Decreasing,Low,144698.6,Master’s Degree,19,5983,6128,72.65,88.34,Brazil,53.79,29.56113369986296
"Education officer, museum",Finance,Increasing,High,60124.5,Bachelor’s Degree,3,1295,4849,8.85,57.75,UK,72.65,57.606901707598894
Recycling officer,Manufacturing,Increasing,High,81869.18,Associate Degree,8,9729,3444,12.83,63.32,China,78.33,76.49492486573965
Fisheries officer,Transportation,Decreasing,Low,79134.03,PhD,3,9996,9931,11.0,13.41,Australia,49.56,37.62882517222617
Herbalist,Education,Decreasing,High,57378.48,High School,20,354,441,60.82,7.24,Canada,48.17,69.57426308575741
"Designer, interior/spatial",Transportation,Decreasing,Low,141587.04,Master’s Degree,15,5932,192,36.96,74.36,Australia,49.34,35.737553682689025
Publishing copy,Transportation,Increasing,Low,113605.05,PhD,7,706,7214,43.14,99.46,USA,77.22,18.335968813798488
Local government officer,Retail,Decreasing,High,51158.99,Associate Degree,2,754,472,12.91,32.45,Canada,56.23,86.63877172268153
Production engineer,Retail,Decreasing,High,99895.16,Bachelor’s Degree,6,2540,8940,90.35,70.05,India,66.88,62.194546307394106
"Administrator, Civil Service",Healthcare,Increasing,Low,99737.89,High School,17,397,2731,29.8,64.81,China,36.57,43.26462632200766
"Therapist, music",Retail,Increasing,Moderate,76676.82,Bachelor’s Degree,11,6821,2531,3.42,94.91,USA,53.01,52.22186329455199
Curator,IT,Increasing,High,136540.86,High School,1,5790,753,22.47,84.13,Brazil,49.26,66.04558053017303
Food technologist,Entertainment,Decreasing,High,91394.66,Master’s Degree,2,9013,2259,42.98,47.49,USA,27.24,53.24682712162271
Retail merchandiser,Entertainment,Increasing,Moderate,137695.1,PhD,19,199,8462,8.84,90.15,Canada,55.26,27.426664864067575
"Producer, television/film/video",Entertainment,Increasing,Moderate,44268.41,High School,19,1845,4750,82.96,17.03,Germany,58.13,45.236910074757915
Database administrator,Retail,Increasing,Moderate,59003.07,Bachelor’s Degree,7,5044,343,65.93,74.36,China,49.36,35.96686760625318
Chiropractor,IT,Decreasing,Moderate,82939.09,Master’s Degree,6,156,6326,91.45,19.99,China,46.08,35.67789974807753
"Designer, fashion/clothing",Transportation,Increasing,High,122471.71,Bachelor’s Degree,6,8675,7418,52.4,2.74,USA,50.78,45.0399751700881
Biomedical scientist,Manufacturing,Increasing,High,35385.88,High School,20,1360,8741,19.37,81.04,Brazil,21.74,76.54021846773995
Clinical research associate,Manufacturing,Decreasing,High,67965.92,Master’s Degree,7,1639,1959,65.61,19.94,UK,36.52,70.34595268797426
"Scientist, forensic",Transportation,Increasing,Moderate,90316.53,Bachelor’s Degree,3,9981,1743,81.77,49.85,UK,24.88,31.66142961627051
Tax adviser,Healthcare,Decreasing,High,36658.75,PhD,10,5854,3587,40.07,35.82,Brazil,29.52,48.17250724052941
Games developer,Manufacturing,Decreasing,Moderate,77411.25,PhD,8,1018,3013,43.66,4.75,Australia,51.34,54.56142378755029
Heritage manager,Transportation,Increasing,Low,99411.82,Bachelor’s Degree,19,9636,8612,27.19,7.58,Australia,65.45,28.626230469581007
Set designer,Retail,Decreasing,Low,100922.81,Master’s Degree,18,5965,6861,43.15,66.42,India,68.37,40.74592335563238
"Exhibitions officer, museum/gallery",Finance,Decreasing,High,51199.53,Bachelor’s Degree,7,2778,1258,55.63,51.7,Canada,24.8,58.76275482149716
Plant breeder/geneticist,Retail,Decreasing,High,126122.89,Associate Degree,2,4405,6806,30.34,44.22,Canada,48.36,76.6178773920799
Surgeon,Healthcare,Decreasing,Moderate,113839.64,Master’s Degree,15,4343,7942,90.99,90.0,Canada,73.45,37.80824587882574
"Surveyor, planning and development",IT,Increasing,Moderate,32609.35,Master’s Degree,14,4368,5153,14.79,34.63,India,68.19,36.93692718746131
Dancer,Entertainment,Decreasing,Low,34876.8,Bachelor’s Degree,3,3907,5380,92.0,44.62,UK,68.25,27.198356600400825
Quantity surveyor,Transportation,Increasing,Low,31589.16,Master’s Degree,2,4236,7172,38.26,84.77,Canada,34.15,23.26359250210205
Field seismologist,Manufacturing,Increasing,High,115739.64,Associate Degree,2,2647,8691,6.26,63.81,China,57.91,72.86282135348523
Child psychotherapist,Transportation,Decreasing,High,57817.46,Associate Degree,3,2845,6093,38.57,58.29,Canada,48.63,71.01905187446415
Automotive engineer,Retail,Decreasing,Low,61066.4,Bachelor’s Degree,14,5362,6907,30.58,57.64,UK,78.69,49.94282496428878
Writer,Education,Decreasing,Moderate,145448.31,Associate Degree,18,2529,8009,97.1,45.46,China,54.87,41.831045138583725
Office manager,IT,Decreasing,Low,79721.94,Master’s Degree,5,2388,9215,2.49,31.53,Brazil,42.84,41.3341166007733
Plant breeder/geneticist,IT,Decreasing,Moderate,85465.55,Associate Degree,0,2139,7137,86.62,74.56,China,62.49,46.75335573142001
"Surveyor, insurance",Manufacturing,Increasing,Moderate,115583.52,PhD,8,7029,9148,21.31,9.22,China,37.38,49.93065460437152
Community education officer,IT,Increasing,Moderate,36886.14,PhD,0,7995,3414,46.8,81.65,Brazil,67.62,21.646977550081086
Insurance account manager,Transportation,Increasing,Moderate,92108.49,PhD,1,1334,4330,6.25,32.98,Australia,49.68,45.07134267559322
